anti_a,anti_b,t_virus
5.76,94.4,9.3
7.9,15.5,11.5
4.41,4.8,15.2
8.7,48.3,15.8
2.84,78.9,11.5
2.84,33.6,77.9
7.31,58.4,74.9
4.24,53.3,60
9.83,55.3,8.4
7.59,76.7,73.4
0.63,11.3,61.4
7.21,20.6,14.9
2.73,67.2,9.4
3.05,86.3,16.5
6.12,35.4,70.1
0.21,39.6,11.2
7.17,86.9,76.8
7.21,88,90.7
2.99,20.6,77
3.41,1.6,7.6
8.62,78.9,81.2
7.79,61.4,55.5
9.79,16.8,6.7
7.5,22.7,10.6
1.44,32.9,64.9
2,93.3,11.9
5.07,87.9,13
9.94,16.4,14.1
0.66,61.6,11.3
7.44,98.8,83.8
9.29,13.6,7.5
9.34,52.6,17.7
2.14,85,13.8
1.43,26.2,62.1
0.67,9.2,80.1
1.74,12.7,69
7.34,83.4,64.9
7.36,13,21.4
2.77,98.1,6
0.17,41.9,9.6
